Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,VMI Keydets,32.0,93.8,31.5,71.2,44.3,13.7,38.3,35.8,17.1,23.2,73.6,12.3,21.1,33.4,18.2,14.2,3.3,14.0,18.7
2,North Carolina Tar Heels,38.0,89.8,31.7,66.0,48.0,6.9,17.9,38.7,19.4,25.9,75.2,14.6,27.4,42.0,18.0,8.6,5.2,12.4,16.0
3,Chicago State Cougars,32.0,84.2,29.9,64.9,46.0,7.9,22.8,34.7,16.5,24.2,68.3,14.4,23.7,38.1,15.8,10.0,3.8,15.2,20.9
4,Texas State Bobcats,30.0,81.5,28.8,64.0,45.1,7.8,21.2,36.9,16.0,24.1,66.4,14.5,24.5,39.0,15.5,7.8,2.7,16.6,26.0
5,Missouri Tigers,38.0,81.5,29.6,62.7,47.2,6.9,19.7,35.2,15.4,22.9,67.2,12.8,23.9,36.7,18.4,10.2,3.7,11.8,19.9
6,Wake Forest Demon Deacons,31.0,81.0,29.2,59.6,49.0,4.1,12.7,32.0,18.5,25.9,71.1,12.6,28.1,40.7,13.1,8.3,5.7,15.9,18.8
7,Oklahoma State Cowboys,35.0,80.9,27.1,58.8,46.0,9.3,24.3,38.4,17.3,23.2,74.8,9.9,25.1,34.9,12.7,7.6,2.3,12.3,21.3
8,North Dakota State Bison,33.0,80.6,28.6,58.7,48.7,7.2,17.5,41.2,16.2,21.9,73.9,11.0,24.5,35.5,14.7,7.0,3.3,11.2,16.3
9,Syracuse Orange,38.0,80.2,29.2,59.9,48.7,6.7,19.6,34.5,15.0,23.3,64.5,12.7,26.9,39.6,18.1,7.8,5.1,15.3,15.3
10,Rhode Island Rams,34.0,79.3,29.2,60.9,48.0,6.3,16.1,39.2,14.5,20.8,69.7,13.0,23.4,36.3,16.0,7.6,3.5,13.4,17.5
11,Gonzaga Bulldogs,34.0,78.9,28.4,58.3,48.8,7.4,18.9,39.0,14.7,20.5,71.7,10.1,27.4,37.5,15.1,7.2,5.1,11.4,16.2
