Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Kentucky Wildcats,39.0,20.0,6.5,0.8,11.3,0.7,-1.6,7.7,6.2,6.9,6.7,0.7,6.1,6.8,6.4,1.8,4.4,-3.2,-2.8
2,Arizona Wildcats,38.0,16.9,6.1,3.0,8.9,-0.3,-2.0,2.5,5.0,6.4,2.0,3.3,5.4,8.7,4.1,2.5,0.8,-2.7,-2.8
3,Gonzaga Bulldogs,38.0,16.8,6.2,-1.9,12.7,1.2,0.1,7.0,3.0,3.8,2.3,-0.3,7.6,7.2,6.5,0.4,0.9,-0.7,-2.9
4,Villanova Wildcats,36.0,15.5,3.3,-0.3,6.3,3.6,5.6,8.4,5.2,6.0,5.1,-0.5,2.5,2.0,3.8,2.2,1.3,-3.5,-2.9
5,Duke Blue Devils,39.0,15.1,3.5,-2.3,7.9,2.1,2.5,7.2,5.9,8.3,0.7,0.4,4.9,5.3,3.4,1.5,0.7,-1.5,-3.4
6,Wisconsin Badgers,40.0,14.3,2.9,0.5,5.1,2.1,6.3,-1.0,6.2,7.4,5.3,2.1,3.6,5.8,3.6,0.2,1.0,-2.0,-5.5
7,Utah Utes,35.0,13.9,4.1,-2.1,9.8,2.7,3.3,9.1,2.9,3.7,2.0,-0.7,5.0,4.2,5.2,0.5,1.8,0.1,-3.0
8,Virginia Cavaliers,34.0,13.9,5.3,1.7,9.0,-0.6,-4.0,4.4,3.8,3.7,8.0,2.2,5.4,7.7,3.5,0.4,1.4,-1.2,-2.0
9,North Carolina Central Eagles,33.0,13.4,6.2,1.0,11.6,1.6,0.9,7.8,-0.7,-1.2,0.5,-1.0,4.2,3.2,5.3,1.8,0.9,0.2,1.5
10,Stephen F. Austin Lumberjacks,34.0,13.3,4.9,5.7,4.4,3.0,6.5,4.1,0.3,-0.7,3.8,2.7,2.5,5.3,7.0,1.8,0.0,-2.5,0.3
11,Wichita State Shockers,35.0,12.9,4.7,6.1,4.0,1.5,4.2,0.3,1.8,2.4,0.5,3.0,1.6,4.6,4.6,3.0,0.4,-3.8,-1.1
12,Sam Houston Bearkats,35.0,12.3,2.7,3.5,2.3,2.8,8.2,0.6,4.1,3.9,6.2,3.4,3.6,7.0,2.5,0.4,1.0,-0.7,-0.3
13,Ohio State Buckeyes,35.0,12.3,4.9,1.0,7.9,0.0,-2.9,4.8,2.4,4.2,-2.4,-0.4,2.4,2.0,2.2,2.4,2.2,-3.0,-1.7
14,Notre Dame Fighting Irish,38.0,12.2,2.7,-4.0,8.2,1.9,2.0,6.3,4.7,5.8,2.9,-3.2,2.8,-0.3,2.7,1.5,1.1,-1.7,-2.4
15,Murray State Racers,35.0,10.9,4.1,0.2,7.1,0.9,-0.2,5.0,1.6,2.9,-1.7,0.1,3.3,3.5,3.6,1.7,0.2,-0.8,-0.7
16,Northern Iowa Panthers,35.0,10.5,2.6,-3.2,8.4,1.3,-0.3,7.7,3.9,5.0,2.1,-1.3,3.6,2.2,2.3,1.1,0.0,-0.8,-3.9
17,BYU Cougars,35.0,10.1,2.1,1.5,2.4,2.3,3.0,6.2,3.4,2.5,6.8,1.6,3.0,4.7,2.5,0.9,-0.6,-0.6,-0.2
18,Central Michigan Chippewas,32.0,9.8,2.1,3.2,1.2,3.4,7.6,2.8,2.0,1.5,4.9,0.1,-0.3,-0.1,2.9,2.4,-0.4,-2.7,-1.6
19,Valparaiso Beacons,34.0,9.6,4.1,1.3,6.5,0.3,-1.3,4.6,1.0,2.3,-2.6,2.1,4.5,6.6,1.6,-0.5,1.3,0.6,-1.5
20,Davidson Wildcats,32.0,9.5,2.4,2.5,2.2,5.0,8.5,9.1,-0.5,-2.6,6.7,-0.5,0.6,0.1,4.3,0.2,-1.0,-2.0,0.9
21,Boise State Broncos,34.0,9.5,2.6,1.8,3.5,2.9,3.7,7.9,1.2,1.0,2.9,0.5,1.7,2.2,1.2,1.4,-0.7,-2.0,0.4
22,SMU Mustangs,34.0,9.3,4.1,-1.5,9.3,-3.6,-12.4,3.6,4.6,6.1,2.1,1.0,5.8,6.9,2.9,0.4,0.7,-0.2,-2.5
23,Louisville Cardinals,36.0,9.1,3.0,2.5,3.6,0.2,0.5,0.4,2.7,3.8,0.6,1.5,1.1,2.6,-0.1,2.1,2.5,-2.7,-1.9
24,Baylor Bears,34.0,8.8,2.2,1.4,2.9,1.2,-0.7,7.9,3.2,4.0,2.7,3.4,4.7,8.2,-0.4,1.1,0.0,0.6,-1.3
25,North Carolina Tar Heels,38.0,8.8,5.5,2.0,7.7,-1.6,-8.1,5.7,-0.5,-0.7,0.0,1.7,5.9,7.6,5.1,-0.1,0.3,0.3,1.1
26,Iowa State Cyclones,34.0,8.7,2.1,-3.1,6.0,0.4,0.3,1.5,4.0,6.5,-3.7,-1.5,2.3,0.7,1.8,0.7,0.5,-1.9,-3.4
27,Georgia State Panthers,35.0,8.7,5.5,1.5,9.1,-2.2,-6.9,0.2,0.0,-0.1,0.8,-2.8,1.2,-1.5,0.8,4.6,1.6,-4.5,0.9
28,Oklahoma Sooners,35.0,8.7,2.6,-0.6,4.8,0.3,-0.6,2.6,3.2,2.3,8.6,-1.2,2.8,1.5,1.0,0.3,1.2,-1.3,-1.5
29,South Carolina Upstate Spartans,36.0,8.5,3.5,3.8,3.4,1.0,2.0,1.6,0.2,0.7,-1.3,1.4,1.4,2.9,2.5,2.7,0.4,-2.1,-0.4
30,Hofstra Pride,34.0,8.2,2.2,3.6,1.0,2.5,5.8,2.2,1.2,2.0,-0.8,2.0,0.2,2.3,2.2,2.5,-0.4,-2.5,-0.3
31,Butler Bulldogs,34.0,8.0,2.1,2.8,1.7,0.1,-2.0,4.8,3.5,5.0,0.3,3.7,1.8,5.5,0.3,1.0,-1.4,-1.6,-1.7
32,Colorado State Rams,34.0,7.9,1.7,2.0,1.7,0.2,1.4,-1.1,4.0,5.4,2.0,3.3,2.6,5.9,2.9,0.2,0.8,-1.1,-3.4
33,New Mexico State Aggies,34.0,7.8,1.4,-0.8,3.4,1.0,0.9,5.9,3.9,5.7,-0.3,2.5,3.7,6.2,0.7,1.0,1.4,0.7,-3.2
34,San Diego State Aztecs,36.0,7.8,2.3,1.7,3.1,0.2,0.0,1.4,2.9,6.0,-6.6,2.5,0.9,3.4,1.3,1.4,1.0,-1.4,-2.7
35,Old Dominion Monarchs,35.0,7.8,4.6,7.3,3.1,0.0,-0.5,1.3,-1.6,-2.6,0.7,3.8,1.4,5.2,3.8,1.5,0.5,-2.1,0.7
36,Michigan State Spartans,39.0,7.4,4.6,1.9,6.9,1.7,1.3,7.0,-3.6,-2.7,-9.0,1.4,3.9,5.4,6.0,-0.3,1.6,0.6,0.9
