Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Virginia Cavaliers,34.0,54.0,19.0,50.1,38.0,6.3,20.4,31.0,9.6,13.1,73.2,8.3,22.4,30.7,9.1,3.8,2.6,12.7,15.0
2,Cincinnati Bearcats,35.0,57.6,20.6,54.8,37.5,6.4,20.7,30.9,10.1,14.8,68.1,10.2,21.3,31.5,10.0,4.9,3.0,14.3,18.1
3,UCF Knights,32.0,61.7,22.4,55.9,40.1,6.3,19.0,33.1,10.6,14.7,72.1,10.0,23.9,33.9,12.5,6.3,3.8,12.3,19.5
4,Northern Iowa Panthers,32.0,62.2,22.6,54.4,41.6,7.5,20.8,36.0,9.5,13.2,72.3,7.4,25.4,32.9,10.8,6.1,3.4,11.1,17.6
5,UNC Greensboro Spartans,35.0,62.5,20.8,51.2,40.7,6.5,20.7,31.5,14.3,19.8,72.5,7.6,22.9,30.5,9.9,7.0,2.3,15.1,16.6
6,Loyola Chicago Ramblers,38.0,62.6,23.1,55.7,41.4,6.7,20.7,32.3,9.7,13.8,70.6,8.9,21.6,30.5,11.6,6.6,3.1,12.7,16.5
7,Old Dominion Monarchs,32.0,62.8,22.1,54.2,40.7,7.5,22.3,33.8,11.1,16.4,67.6,9.3,24.6,33.9,13.0,4.6,2.8,14.5,17.4
8,Michigan Wolverines,41.0,63.3,23.1,54.3,42.6,5.4,16.5,32.8,11.7,16.2,72.1,8.4,24.6,33.0,10.0,4.2,3.1,12.9,17.8
9,Liberty Flames,37.0,63.6,21.4,51.3,41.6,8.5,23.4,36.6,12.4,16.9,73.0,6.6,23.0,29.6,11.6,5.9,2.4,12.2,17.2
10,Syracuse Orange,37.0,63.8,21.6,55.3,39.1,7.8,24.6,31.8,12.7,17.4,73.1,11.0,22.4,33.4,16.0,6.2,3.1,12.7,18.4
11,Evansville Purple Aces,32.0,63.9,22.3,53.0,42.0,7.7,22.8,33.8,11.7,17.0,68.8,8.7,23.3,32.0,12.5,7.2,4.2,13.7,18.5
12,SMU Mustangs,33.0,64.1,22.5,53.4,42.2,7.8,23.2,33.8,11.1,16.3,68.1,10.5,22.7,33.2,14.4,4.8,3.4,14.0,16.7
13,New Mexico State Aggies,34.0,64.2,22.4,56.4,39.8,6.5,21.0,31.0,12.8,18.0,71.1,8.4,24.1,32.5,9.4,4.9,2.4,13.6,17.7
14,Saint Mary's Gaels,36.0,64.5,24.5,55.5,44.2,5.6,17.2,32.3,9.9,13.8,71.7,7.4,20.1,27.4,11.8,5.5,2.9,9.6,16.4
15,Bradley Braves,33.0,64.7,21.7,53.6,40.5,7.4,22.3,33.0,14.0,19.0,73.5,9.9,23.2,33.2,13.0,6.3,2.6,13.5,19.0
16,Texas Tech Red Raiders,37.0,64.8,21.8,54.3,40.1,6.7,20.8,32.3,14.5,20.6,70.3,10.0,22.4,32.4,10.2,6.0,3.7,15.0,20.7
17,Rutgers Scarlet Knights,34.0,64.8,23.1,55.8,41.4,6.8,21.2,32.0,11.9,16.9,70.1,10.0,25.9,35.9,12.6,5.6,4.3,13.9,18.4
18,Michigan State Spartans,35.0,64.9,22.1,60.2,36.7,7.2,21.4,33.7,13.5,18.5,72.8,10.7,19.7,30.4,12.0,5.9,2.5,10.0,19.9
19,Radford Highlanders,36.0,64.9,22.8,52.7,43.2,7.3,20.7,35.0,12.1,16.2,75.1,8.9,22.6,31.5,11.5,5.5,3.3,13.0,16.7
20,Vermont Catamounts,35.0,65.1,24.1,55.1,43.8,7.1,20.7,34.2,9.7,13.7,71.3,7.3,21.5,28.8,11.9,5.6,3.1,11.0,19.9
21,Grand Canyon Lopes,34.0,65.1,22.6,56.1,40.2,4.7,17.1,27.8,15.2,21.6,70.6,10.6,25.8,36.4,9.7,6.0,2.4,15.0,21.9
