Team,Ranking,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Alabama Crimson Tide,1,37.0,90.1,30.7,64.5,47.6,11.2,29.9,37.3,17.6,22.8,77.2,12.8,26.9,39.6,15.9,6.9,4.4,11.8,19.9
Kentucky Wildcats,2,33.0,89.0,32.0,64.6,49.5,9.9,24.2,40.9,15.2,19.7,77.2,10.1,27.6,37.6,17.5,7.5,6.3,10.7,17.5
Arizona Wildcats,3,36.0,87.1,31.2,64.5,48.4,7.9,21.6,36.6,16.8,23.4,71.7,13.1,29.5,42.6,18.5,8.3,3.7,11.9,16.4
Wright State Raiders,4,32.0,86.5,32.3,60.9,53.0,6.8,17.8,38.3,15.1,19.9,75.7,9.0,25.6,34.6,16.5,6.3,2.8,11.8,15.6
Samford Bulldogs,5,35.0,86.1,30.1,61.5,49.0,10.0,25.4,39.5,15.8,21.9,72.3,10.6,25.2,35.8,17.7,9.9,3.7,13.0,19.1
Florida Gators,6,36.0,85.6,29.9,65.3,45.8,7.8,22.6,34.5,17.9,25.1,71.5,14.6,27.6,42.3,15.2,6.7,5.3,11.7,18.5
Indiana State Sycamores,7,39.0,84.8,29.3,57.9,50.5,10.9,28.7,38.2,15.4,19.3,79.6,7.2,28.3,35.5,17.9,6.1,1.8,11.6,16.4
Gonzaga Bulldogs,8,35.0,84.5,32.0,61.8,51.8,6.9,19.3,36.1,13.6,18.9,72.1,10.8,27.9,38.7,16.7,6.7,3.9,9.8,15.6
High Point Panthers,9,36.0,83.9,27.8,60.1,46.2,8.3,24.4,34.1,20.1,25.8,77.8,13.1,26.6,39.7,11.9,5.1,3.3,11.1,18.1
Illinois Fighting Illini,10,38.0,83.4,29.1,62.0,46.9,8.3,23.9,34.9,16.9,23.0,73.6,12.8,28.1,40.9,13.3,4.4,3.8,10.6,15.2
James Madison Dukes,11,36.0,83.2,29.8,62.6,47.6,8.5,23.7,36.0,15.1,21.4,70.3,11.4,27.1,38.5,16.0,9.0,3.1,10.9,17.3
Iowa Hawkeyes,12,34.0,83.1,30.1,63.4,47.6,6.6,18.9,35.1,16.2,20.9,77.4,9.8,25.8,35.6,17.8,6.8,3.9,9.6,17.0
Auburn Tigers,13,35.0,83.1,28.9,60.6,47.6,8.0,22.7,35.2,17.4,23.2,75.0,11.2,26.6,37.8,17.8,7.4,6.1,10.7,19.4
Kennesaw State Owls,14,31.0,82.8,29.3,65.6,44.6,9.4,28.6,32.9,14.8,22.0,67.4,12.2,26.5,38.8,14.8,7.4,4.1,12.1,20.2
Purdue Boilermakers,15,39.0,82.3,28.4,58.3,48.8,8.2,20.2,40.4,17.3,24.1,72.0,12.2,28.2,40.4,18.5,5.4,3.6,11.3,13.7
Cornell Big Red,16,30.0,82.1,29.8,61.2,48.7,10.3,29.7,34.8,12.1,16.7,72.3,9.6,25.9,35.4,18.1,8.3,2.6,12.2,18.3
Lipscomb Bisons,17,32.0,82.1,30.0,60.8,49.3,9.3,24.4,38.0,12.8,16.7,76.7,7.6,25.6,33.3,14.5,6.1,3.4,10.0,12.9
Florida Atlantic Owls,18,34.0,82.0,29.2,61.0,47.8,8.4,23.8,35.1,15.3,21.3,72.0,11.6,26.4,38.1,14.9,7.2,3.1,11.4,16.1
North Carolina Tar Heels,19,37.0,81.9,28.3,62.8,45.0,8.1,22.7,35.9,17.3,22.8,75.9,12.2,28.9,41.1,14.5,5.8,4.1,10.1,16.5
Tulane Green Wave,20,31.0,81.9,27.6,58.0,47.6,7.5,21.1,35.7,19.2,26.2,73.2,7.0,26.2,33.2,14.2,7.8,4.4,11.2,17.1
UT Martin Skyhawks,21,32.0,81.5,28.4,63.9,44.4,8.7,24.3,35.8,16.1,20.8,77.1,10.2,31.1,41.2,13.0,6.2,2.8,11.4,14.2
BYU Cougars,22,34.0,81.4,29.2,63.4,46.0,11.1,32.0,34.8,11.9,16.1,74.2,11.9,27.6,39.5,18.5,5.9,3.0,10.7,17.8
UConn Huskies,23,40.0,81.4,29.4,59.2,49.7,8.5,23.8,35.8,14.1,18.9,74.3,11.7,27.1,38.8,18.7,6.2,5.4,9.6,16.3
Youngstown State Penguins,24,32.0,81.2,29.1,64.5,45.1,8.8,27.3,32.3,14.2,18.4,77.1,12.8,27.2,40.0,15.3,6.2,4.9,11.0,16.3
Denver Pioneers,25,34.0,81.0,27.8,61.9,45.0,8.6,24.9,34.8,16.7,22.9,73.0,10.1,25.2,35.3,13.1,6.2,3.9,10.0,16.9
Charleston Cougars,26,35.0,80.9,28.7,65.1,44.2,10.5,30.6,34.3,12.9,17.9,72.2,13.1,26.7,39.8,15.3,6.3,3.1,9.9,15.9
Eastern Washington Eagles,27,32.0,80.8,27.9,55.7,50.1,8.5,23.4,36.4,16.4,21.3,77.1,8.1,25.8,33.8,17.6,6.0,3.6,13.2,18.2
Eastern Kentucky Colonels,28,31.0,80.8,29.6,64.3,46.0,7.8,21.9,35.8,13.8,20.3,68.0,13.3,26.9,40.2,14.6,6.3,6.1,11.5,16.2
New Mexico Lobos,29,35.0,80.7,29.5,65.2,45.2,6.5,19.9,32.7,15.2,21.3,71.3,13.0,26.7,39.7,14.4,8.7,5.0,10.0,17.7
Washington Huskies,30,32.0,80.6,29.1,61.9,47.0,8.1,22.8,35.4,14.3,19.9,72.2,9.4,26.6,36.0,15.1,5.8,3.7,11.7,18.3
Memphis Tigers,31,32.0,80.5,28.0,61.0,46.0,8.3,23.7,35.0,16.1,22.2,72.5,12.0,25.1,37.0,13.7,8.6,4.5,13.1,17.2
Creighton Bluejays,32,35.0,80.4,29.0,60.0,48.4,10.7,29.1,36.8,11.7,14.8,78.8,8.4,29.7,38.1,16.8,3.8,4.1,10.6,11.5
Baylor Bears,33,35.0,80.4,27.6,57.2,48.3,8.6,22.1,38.9,16.5,22.6,73.2,11.4,23.7,35.1,14.7,6.7,3.1,12.0,16.5
Western Kentucky Hilltoppers,34,34.0,80.2,29.3,62.9,46.6,6.9,20.2,34.0,14.8,20.6,72.0,10.6,29.3,39.9,13.4,7.6,3.2,13.8,18.4
Purdue Fort Wayne Mastodons,35,36.0,80.2,29.0,62.0,46.8,9.4,26.2,36.1,12.8,18.2,70.3,8.4,24.1,32.5,13.6,9.2,3.1,10.4,17.0
Arkansas-Pine Bluff Golden Lions,36,31.0,80.1,26.2,58.7,44.6,10.9,29.0,37.5,16.8,22.0,76.2,8.4,26.2,34.5,15.1,5.9,2.2,13.2,18.3
Queens University Royals,37,33.0,80.1,28.1,63.5,44.3,8.9,26.2,34.0,14.9,21.0,71.0,11.2,25.7,36.9,13.2,7.0,2.8,11.4,17.4
UMass Lowell River Hawks,38,32.0,80.0,28.5,60.1,47.5,5.8,17.7,32.9,17.2,23.3,73.6,11.5,29.3,40.8,12.7,6.9,4.9,13.3,15.1
Toledo Rockets,39,32.0,80.0,28.8,60.2,47.8,6.5,17.2,37.6,16.0,21.3,75.4,10.0,23.9,33.9,13.4,7.3,2.0,10.7,15.6
McNeese Cowboys,40,34.0,80.0,28.6,58.7,48.7,7.6,19.7,38.3,15.2,21.9,69.3,11.2,24.8,36.0,14.9,10.3,3.4,9.6,17.3
Drake Bulldogs,41,35.0,79.9,28.3,59.4,47.7,8.6,23.4,36.6,14.7,19.5,75.3,8.0,26.3,34.3,16.0,6.5,1.6,9.5,16.3
Utah State Aggies,42,35.0,79.7,28.5,58.2,49.1,6.5,19.4,33.3,16.1,22.4,72.0,9.5,26.3,35.8,16.3,6.8,4.2,11.0,17.0
Troy Trojans,43,32.0,79.6,26.8,60.9,44.1,8.6,24.6,35.1,17.3,23.5,73.3,13.3,25.1,38.4,13.7,10.3,3.3,13.8,19.1
Milwaukee Panthers,44,35.0,79.5,28.0,62.8,44.6,7.9,24.6,32.2,15.6,21.4,72.7,13.5,25.5,39.0,14.2,5.9,4.4,12.5,18.1
Furman Paladins,45,33.0,79.5,27.6,62.2,44.4,9.7,29.9,32.4,14.6,20.0,72.8,11.2,26.5,37.8,16.2,7.1,2.9,11.8,16.0
UNC Wilmington Seahawks,46,31.0,79.4,27.8,60.4,46.1,8.3,23.9,34.8,15.4,20.3,76.0,10.6,23.7,34.4,12.2,6.5,2.4,8.6,17.0
Colorado Buffaloes,47,37.0,79.3,28.4,57.3,49.5,6.9,17.5,39.1,15.8,20.1,78.4,9.9,27.0,36.9,16.2,6.0,2.2,12.6,14.9
Northern Colorado Bears,48,33.0,79.3,29.4,60.5,48.5,7.7,22.1,34.8,12.9,17.7,72.9,8.1,26.8,34.8,14.6,6.3,2.4,11.2,16.6
Grand Canyon Lopes,49,35.0,79.1,26.4,57.4,46.0,7.0,20.8,33.6,19.3,25.8,74.9,11.8,26.4,38.1,12.1,8.3,5.5,12.3,17.9
TCU Horned Frogs,50,34.0,79.0,28.4,61.4,46.1,6.6,18.6,35.4,15.7,21.5,73.1,12.7,24.4,37.1,16.9,9.0,3.8,12.9,17.5
UNC Asheville Bulldogs,51,34.0,78.9,26.6,57.4,46.5,8.1,22.3,36.5,17.4,23.5,74.2,9.3,25.2,34.5,15.7,6.0,4.3,11.8,17.1
St. John's Red Storm,52,33.0,78.8,29.4,64.8,45.3,7.2,21.1,34.1,12.9,17.7,72.8,14.4,24.3,38.8,15.7,7.0,5.5,10.9,18.0
Arkansas State Red Wolves,53,37.0,78.8,27.6,62.5,44.1,9.2,26.8,34.4,14.4,20.6,70.2,13.2,25.1,38.4,14.5,5.6,4.4,11.2,17.4
Utah Utes,54,37.0,78.8,29.2,62.4,46.9,9.3,25.2,37.0,11.0,16.9,65.0,10.0,28.9,38.9,17.7,5.9,4.2,11.5,15.9
Tennessee Volunteers,55,36.0,78.8,27.2,61.8,44.0,8.8,25.4,34.4,15.6,20.8,75.1,11.6,27.1,38.7,16.7,7.8,4.6,10.2,17.5
Bryant Bulldogs,56,33.0,78.7,28.9,63.2,45.7,8.3,24.4,33.9,12.6,18.9,66.9,7.8,29.8,37.6,14.8,7.0,6.5,11.9,17.0
UAlbany Great Danes,57,32.0,78.7,28.7,64.3,44.6,7.8,23.7,33.0,13.5,18.6,72.6,11.3,24.4,35.7,12.8,8.3,3.2,13.1,19.4
UMBC Retrievers,57,32.0,78.7,29.8,64.0,46.6,8.0,22.3,35.7,11.0,15.8,69.8,9.5,27.3,36.8,13.0,5.1,3.9,13.1,15.8
Duke Blue Devils,59,36.0,78.6,27.9,58.7,47.5,8.3,22.0,37.7,14.6,20.1,72.3,10.6,26.0,36.6,15.3,6.5,3.7,9.7,15.9
Appalachian State Mountaineers,60,34.0,78.4,29.3,61.8,47.5,6.6,19.8,33.2,13.1,19.3,68.0,11.0,30.7,41.6,14.6,6.1,6.8,10.7,13.2
Chattanooga Mocs,61,33.0,78.2,27.0,58.0,46.6,10.6,29.4,35.9,13.6,18.2,74.5,9.2,27.3,36.5,13.5,6.3,3.7,11.9,15.9
Wake Forest Demon Deacons,62,35.0,78.1,27.7,58.3,47.4,7.9,21.8,36.4,14.8,18.7,79.5,8.5,25.7,34.2,12.3,5.9,4.1,10.7,15.5
Marquette Golden Eagles,63,37.0,78.1,29.1,61.0,47.8,8.8,25.1,35.2,10.9,15.6,70.3,8.7,24.1,32.8,15.9,8.6,3.5,10.0,15.0
North Florida Ospreys,64,32.0,78.0,26.5,59.9,44.3,12.0,33.2,36.0,13.0,16.9,76.6,8.9,24.8,33.6,12.4,5.6,3.6,11.3,16.2
Belmont Bruins,65,33.0,77.9,27.9,58.8,47.6,9.1,24.6,37.1,12.9,17.8,72.3,7.2,27.1,34.2,15.3,7.5,3.1,12.2,15.6
Lamar Cardinals,66,33.0,77.8,27.6,61.4,45.0,7.5,21.7,34.6,15.0,20.6,73.0,12.5,25.6,38.1,16.5,7.1,3.7,12.9,18.6
Arkansas Razorbacks,67,33.0,77.8,26.0,57.5,45.3,6.0,18.9,31.8,19.7,26.0,75.6,8.5,26.0,34.5,11.7,6.0,6.1,12.0,20.0
Nebraska Cornhuskers,68,34.0,77.7,26.8,59.3,45.2,9.4,26.3,35.7,14.7,19.4,76.0,9.5,28.0,37.5,15.3,6.3,2.6,11.1,15.9
San Francisco Dons,68,34.0,77.7,29.3,60.1,48.7,8.6,24.3,35.5,10.6,14.0,75.5,9.4,24.7,34.1,16.3,8.2,3.4,11.5,18.4
UC Irvine Anteaters,70,34.0,77.6,28.4,59.9,47.5,5.8,16.6,34.9,14.9,19.9,75.3,10.5,27.2,37.7,15.6,6.4,3.3,11.5,18.4
UTSA Roadrunners,71,32.0,77.6,26.2,63.8,41.0,9.7,28.8,33.7,15.6,21.9,71.0,13.1,27.2,40.3,13.9,5.0,4.2,11.3,18.0
UAB Blazers,72,35.0,77.5,26.8,59.6,44.9,6.1,18.8,32.7,17.8,23.8,74.6,12.9,25.1,38.0,13.5,6.7,4.5,11.6,15.9
Massachusetts Minutemen,73,31.0,77.5,27.7,61.4,45.1,6.7,21.5,31.3,15.4,22.0,69.9,13.4,24.9,38.3,15.6,7.6,3.0,11.1,18.7
Long Beach State Beach,74,36.0,77.4,27.6,62.2,44.4,5.4,17.7,30.5,16.8,23.8,70.9,12.5,26.4,38.9,15.3,7.9,4.2,12.6,17.3
Clemson Tigers,75,36.0,77.4,27.5,58.8,46.9,8.2,23.4,35.1,14.1,18.1,78.0,9.1,27.3,36.3,14.8,4.6,3.8,10.1,16.3
Quinnipiac Bobcats,76,34.0,77.4,27.6,61.4,44.9,7.5,21.3,35.1,14.7,19.0,77.5,10.9,26.1,36.9,14.1,7.6,3.7,12.3,16.2
Winthrop Eagles,77,32.0,77.3,25.6,55.1,46.4,7.4,21.8,34.1,18.8,26.8,70.2,10.6,24.7,35.3,11.9,6.3,2.8,12.9,17.8
Ohio Bobcats,78,33.0,77.3,27.3,60.2,45.3,8.9,25.1,35.6,13.8,18.9,73.0,10.1,24.8,34.9,14.1,7.1,3.6,9.7,17.1
Little Rock Trojans,79,34.0,77.3,28.1,59.5,47.3,6.4,18.5,34.5,14.6,19.5,74.8,10.9,25.7,36.6,14.8,6.0,4.7,12.3,17.7
Butler Bulldogs,80,33.0,77.1,27.9,61.7,45.3,8.4,23.6,35.5,12.8,16.2,79.1,9.3,25.9,35.2,15.1,6.2,3.3,10.9,13.8
Princeton Tigers,81,29.0,77.1,26.8,58.4,45.8,10.5,29.4,35.6,13.0,16.1,80.6,8.4,24.9,33.3,14.6,6.0,1.9,8.2,13.5
Columbia Lions,82,27.0,77.0,27.7,59.1,46.9,8.6,22.8,37.5,12.9,17.7,73.2,9.8,25.9,35.7,17.4,7.7,2.3,12.2,16.2
Santa Clara Broncos,83,33.0,76.9,27.6,60.1,46.0,8.2,23.2,35.4,13.4,18.8,71.5,12.0,27.2,39.3,15.1,4.8,2.7,12.8,17.7
Montana Grizzlies,84,36.0,76.9,28.0,57.6,48.5,7.7,21.5,35.8,13.3,16.7,79.2,8.3,25.8,34.1,14.9,4.8,3.0,10.3,16.7
UT Arlington Mavericks,85,34.0,76.9,25.9,58.3,44.4,9.0,25.3,35.4,16.1,22.0,73.5,11.9,25.6,37.5,15.8,7.1,3.8,15.5,20.8
Western Carolina Catamounts,86,32.0,76.8,28.2,61.3,46.0,8.2,22.3,36.6,12.3,17.3,71.2,10.3,29.2,39.5,11.5,4.4,3.2,10.3,16.8
SMU Mustangs,87,33.0,76.8,28.3,63.3,44.7,7.6,22.3,34.1,12.6,18.4,68.6,14.5,25.3,39.8,15.7,8.4,4.8,11.3,17.1
George Washington Revolutionaries,88,32.0,76.8,26.3,59.4,44.2,9.0,24.9,36.1,15.3,20.4,74.6,9.2,27.7,36.8,12.3,5.9,4.8,12.4,14.5
Stetson Hatters,89,35.0,76.8,27.1,58.7,46.3,8.9,24.5,36.5,13.5,17.7,76.6,9.6,24.8,34.4,13.3,5.3,3.1,10.4,14.7
UC San Diego Tritons,90,33.0,76.7,26.8,58.6,45.7,8.9,24.8,35.8,14.2,18.9,75.2,9.6,25.2,34.8,13.0,6.2,2.8,9.7,16.1
North Carolina Central Eagles,91,31.0,76.6,26.5,58.5,45.4,7.5,22.0,34.2,16.0,23.0,69.5,11.2,24.1,35.3,12.8,7.6,2.7,12.0,17.8
Florida State Seminoles,92,33.0,76.5,27.4,60.5,45.3,6.1,19.1,31.7,15.8,22.3,70.7,10.2,23.1,33.3,12.3,9.2,4.3,11.9,19.7
North Alabama Lions,93,32.0,76.5,26.8,60.3,44.4,7.7,21.2,36.2,15.2,19.8,76.8,9.9,25.5,35.4,11.2,5.3,3.2,10.1,18.4
Georgia State Panthers,94,31.0,76.5,27.6,63.5,43.5,7.5,23.2,32.6,13.7,18.1,75.7,10.5,26.9,37.4,11.8,5.8,2.9,9.7,17.5
South Dakota State Jackrabbits,95,35.0,76.4,27.9,58.0,48.2,8.6,23.5,36.5,12.0,16.9,71.0,8.3,27.2,35.4,12.9,6.1,3.2,11.3,14.3
Oakland Golden Grizzlies,96,36.0,76.4,26.8,60.2,44.6,8.8,24.9,35.5,13.9,18.5,75.1,10.5,25.2,35.8,14.5,6.6,2.8,11.0,15.1
LSU Tigers,97,33.0,76.4,26.3,57.8,45.5,7.8,21.7,35.7,16.0,22.1,72.3,10.5,25.2,35.7,11.8,8.0,3.8,13.2,17.4
Stanford Cardinal,98,32.0,76.3,27.6,58.9,46.8,8.9,24.2,37.0,12.3,16.9,72.8,7.8,26.5,34.3,16.1,5.5,3.1,12.8,15.3
Syracuse Orange,99,32.0,76.3,27.6,59.8,46.1,6.8,20.3,33.6,14.3,19.8,72.1,8.7,24.6,33.3,13.8,9.1,4.0,11.4,15.4
South Dakota Coyotes,100,32.0,76.1,27.3,59.9,45.7,7.8,20.9,37.5,13.5,18.2,74.3,10.2,26.8,37.0,12.2,3.6,1.8,12.8,16.0
Texas A&M Aggies,101,36.0,76.0,25.7,64.0,40.2,7.1,24.1,29.3,17.5,24.7,70.7,17.4,25.4,42.8,11.4,6.9,3.0,9.6,17.0
Nevada Wolf Pack,102,34.0,75.9,25.9,54.7,47.4,6.7,18.4,36.3,17.4,24.2,72.0,8.9,25.4,34.3,15.0,6.3,3.6,10.1,17.6
Fairleigh Dickinson Knights,103,32.0,75.9,26.3,62.9,41.9,8.4,25.4,33.0,14.9,21.3,70.0,11.3,25.8,37.1,15.1,8.2,2.5,12.8,17.8
Louisiana Ragin' Cajuns,104,33.0,75.9,27.8,61.4,45.4,7.6,22.5,33.8,12.6,17.2,72.9,11.2,23.1,34.3,12.4,8.6,3.8,11.8,17.9
Xavier Musketeers,105,34.0,75.9,27.1,62.2,43.6,6.8,19.9,34.2,14.7,19.8,74.6,11.8,26.3,38.1,16.2,6.9,3.4,11.6,16.9
Miami Hurricanes,106,32.0,75.8,27.8,61.3,45.4,8.9,24.8,36.1,11.3,15.1,74.5,10.1,26.6,36.7,14.2,7.2,3.1,12.1,13.1
South Florida Bulls,107,33.0,75.7,25.4,57.6,44.1,8.9,24.4,36.7,16.1,21.8,73.7,9.9,26.1,36.0,14.9,6.9,3.4,10.8,17.2
UNC Greensboro Spartans,108,32.0,75.7,27.0,58.7,46.1,10.1,25.4,39.7,11.6,15.8,73.0,10.0,25.4,35.4,14.8,7.0,2.5,10.9,17.3
NC State Wolfpack,109,41.0,75.6,27.2,60.6,45.0,7.0,20.2,34.5,14.2,19.4,73.3,10.1,25.2,35.3,13.1,7.2,3.6,9.6,16.3
Pittsburgh Panthers,110,33.0,75.6,26.5,60.6,43.7,9.6,26.9,35.7,13.1,18.5,70.8,11.4,25.7,37.1,13.7,6.3,4.5,9.0,15.5
Oregon Ducks,111,36.0,75.6,27.3,59.6,45.8,7.3,21.6,33.8,13.7,19.1,71.9,9.9,24.5,34.4,13.8,7.2,3.6,10.2,16.4
Kansas Jayhawks,112,34.0,75.6,28.2,57.9,48.8,5.7,17.3,33.2,13.4,18.5,72.1,8.2,27.8,36.0,19.0,7.1,3.9,11.7,14.9
Fairfield Stags,113,37.0,75.5,26.8,60.0,44.6,9.2,25.5,36.3,12.7,16.8,75.8,9.7,23.5,33.2,13.4,8.5,2.2,10.6,14.4
Ohio State Buckeyes,114,36.0,75.5,26.6,59.1,45.0,7.1,20.4,34.5,15.3,19.9,76.7,10.9,26.1,37.1,14.1,5.6,4.6,10.6,17.0
Cleveland State Vikings,115,36.0,75.5,27.9,62.4,44.7,6.4,19.4,33.3,13.2,19.8,66.8,12.6,22.6,35.2,13.3,8.3,3.9,10.3,18.3
